docid;rank_score;fqcategory;mes:key;title;mes:key;mes:group
13546;0;BestBets:jhuedu-suggestions;I8pcifM5fe5BTYABkLyLzA==;Athletics;I8pcifM5fe5BTYABkLyLzA==;
13555;0;BestBets:jhuedu-suggestions;ITweBA82iEPGOSgDbNcJRg==;Provost's Undergraduate Research Awards;ITweBA82iEPGOSgDbNcJRg==;
13604;0;BestBets:jhuedu-suggestions;L0yKc1wCtcn48XNAnP02fA==;Ralph S. O'Connor Recreation Center;L0yKc1wCtcn48XNAnP02fA==;
13569;0;BestBets:jhuedu-suggestions;L28Drz+EgC1dOdQSjhGfRA==;Board of Trustees;L28Drz+EgC1dOdQSjhGfRA==;
13502;0;BestBets:jhuedu-suggestions;L7g4/vOo6IGCOp1/7WThQA==;Emergency Information;L7g4/vOo6IGCOp1/7WThQA==;
13568;0;BestBets:jhuedu-suggestions;LKsqoof532BG6uOPxnLIqw==;Student Government Association;LKsqoof532BG6uOPxnLIqw==;
13612;0;BestBets:jhuedu-suggestions;LxFBjd+UC1JPxdXm7yipRw==;Vice President and General Counsel;LxFBjd+UC1JPxdXm7yipRw==;
13528;0;BestBets:jhuedu-suggestions;M6efS6iCkWIXU2a25iLzJw==;Office of Finance & Administration;M6efS6iCkWIXU2a25iLzJw==;
13613;0;BestBets:jhuedu-suggestions;MSGo8h4q81LwDX0dZe06cg==;Krieger School of Arts and Sciences;MSGo8h4q81LwDX0dZe06cg==;
13620;0;BestBets:jhuedu-suggestions;MmVnsXc7PolenAH8BW/P1g==;Homewood Photography;MmVnsXc7PolenAH8BW/P1g==;
13554;0;BestBets:jhuedu-suggestions;QyRCk01V32JuMcgdBq2lvQ==;Coursera;QyRCk01V32JuMcgdBq2lvQ==;
13586;0;BestBets:jhuedu-suggestions;RPaIAvwOxzt89fwpQLCarA==;Gazette;RPaIAvwOxzt89fwpQLCarA==;
13564;0;BestBets:jhuedu-suggestions;ReJpNAZNQ7BdHoY+QCTiRg==;Summer Programs;ReJpNAZNQ7BdHoY+QCTiRg==;
13615;0;BestBets:jhuedu-suggestions;RfuJZqWSKEtCa3is1pCSCw==;Digital Media Center;RfuJZqWSKEtCa3is1pCSCw==;
13541;0;BestBets:jhuedu-suggestions;V/7MjHknybIBdn0uSF+YZg==;Shuttles;V/7MjHknybIBdn0uSF+YZg==;
13517;0;BestBets:jhuedu-suggestions;V1TUqD+yek9BcT8wcZMQzA==;University Finance;V1TUqD+yek9BcT8wcZMQzA==;
13511;0;BestBets:jhuedu-suggestions;V7YE26ES4nMpvpR8gM9sOA==;Academic Calendar;V7YE26ES4nMpvpR8gM9sOA==;
13587;0;BestBets:jhuedu-suggestions;VVRD5yNGisjiLDLAanWG7A==;Admissions & Aid;VVRD5yNGisjiLDLAanWG7A==;
13556;0;BestBets:jhuedu-suggestions;W9XmRBLedol+zSZseCxJvQ==;ROTC;W9XmRBLedol+zSZseCxJvQ==;
13601;0;BestBets:jhuedu-suggestions;XmXjwWIyV2H3sV7/sd764g==;Campus Ministries;XmXjwWIyV2H3sV7/sd764g==;
13540;0;BestBets:jhuedu-suggestions;Y1HckpbqqzfWTQTaFCAaug==;Office of Sustainability;Y1HckpbqqzfWTQTaFCAaug==;
13551;0;BestBets:jhuedu-suggestions;YLGA9ASFz/gdHl09OnYkaw==;LGBTQ Life;YLGA9ASFz/gdHl09OnYkaw==;
13539;0;BestBets:jhuedu-suggestions;YxV78klV35cpGzqaD9kDbw==;J-Card;YxV78klV35cpGzqaD9kDbw==;
13561;0;BestBets:jhuedu-suggestions;ZU+SwE6EO95BGXeE9fR3Hg==;Berman Institute of Bioethics;ZU+SwE6EO95BGXeE9fR3Hg==;
13512;0;BestBets:jhuedu-suggestions;Zb+HEozEBp/JrQuRwoR//Q==;Office of the Registrar;Zb+HEozEBp/JrQuRwoR//Q==;
13605;0;BestBets:jhuedu-suggestions;Zl2Y5P3s2UFfCAlBheUylg==;Johns Hopkins Fact Book;Zl2Y5P3s2UFfCAlBheUylg==;
13559;0;BestBets:jhuedu-suggestions;ZvE9gvTSmVa6EBaeGQVovg==;Human Language Technology Center of Excellence;ZvE9gvTSmVa6EBaeGQVovg==;
13514;0;BestBets:jhuedu-suggestions;aEaI3Z6E6hrEg5o5cyPu8A==;Center for Talented Youth;aEaI3Z6E6hrEg5o5cyPu8A==;
13592;0;BestBets:jhuedu-suggestions;aWIAhgRbFE2+5wYrjj12uQ==;Milton S. Eisenhower Symposium;aWIAhgRbFE2+5wYrjj12uQ==;
13602;0;BestBets:jhuedu-suggestions;adnLmQ4EiBxDNciKBAeCPg==;Summer Jobs Program;adnLmQ4EiBxDNciKBAeCPg==;
13535;0;BestBets:jhuedu-suggestions;aqF1Hipy4hhySCL6ByaQaQ==;Office of Institutional Equity;aqF1Hipy4hhySCL6ByaQaQ==;
13538;0;BestBets:jhuedu-suggestions;cH/DulvbC1heuXiJYGJG4Q==;Transportation Services;cH/DulvbC1heuXiJYGJG4Q==;
13557;0;BestBets:jhuedu-suggestions;cyL9hCJXsT3PWPmOb1+lQA==;Online Courses;cyL9hCJXsT3PWPmOb1+lQA==;
13614;0;BestBets:jhuedu-suggestions;dHAM1ZtfPqWJm/la4z/4sw==;Connecting our communities;dHAM1ZtfPqWJm/la4z/4sw==;
